# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
124,1.033333,360.2329,347.9849,37.408441,36.136547,0.439569,-0.416944,0.9798
125,1.041667,360.2329,347.9849,37.408441,36.136547,0.439569,-0.416944,0.9798
126,1.050000,360.2329,347.9849,37.408441,36.136547,0.439569,-0.416944,0.9798
127,1.058333,360.2329,347.9849,37.408441,36.136547,0.439569,-0.416944,0.9798
128,1.066667,360.1531,347.6950,37.400146,36.106440,0.431274,-0.447051,0.9783
129,1.075000,360.1531,347.6950,37.400146,36.106440,0.431274,-0.447051,0.9783
130,1.083333,360.1531,347.6950,37.400146,36.106440,0.431274,-0.447051,0.9783
131,1.091667,360.1531,347.6950,37.400146,36.106440,0.431274,-0.447051,0.9783
132,1.100000,360.1911,347.6887,37.404101,36.105786,0.435229,-0.447705,0.9796
133,1.108333,360.1911,347.6887,37.404101,36.105786,0.435229,-0.447705,0.9796
134,1.116667,360.1911,347.6887,37.404101,36.105786,0.435229,-0.447705,0.9796
135,1.125000,360.1911,347.6887,37.404101,36.105786,0.435229,-0.447705,0.9796
136,1.133333,360.0540,347.6594,37.389856,36.102740,0.420984,-0.450751,0.9782
137,1.141667,360.0540,347.6594,37.389856,36.102740,0.420984,-0.450751,0.9782
138,1.150000,360.0540,347.6594,37.389856,36.102740,0.420984,-0.450751,0.9782
139,1.158333,360.0540,347.6594,37.389856,36.102740,0.420984,-0.450751,0.9782
140,1.166667,359.9365,347.4750,37.377661,36.083595,0.408789,-0.469897,0.9773
141,1.175000,359.9365,347.4750,37.377661,36.083595,0.408789,-0.469897,0.9773
142,1.183333,359.9365,347.4750,37.377661,36.083595,0.408789,-0.469897,0.9773
143,1.191667,359.9365,347.4750,37.377661,36.083595,0.408789,-0.469897,0.9773
144,1.200000,359.7832,347.4445,37.361741,36.080421,0.392869,-0.473071,0.9748
145,1.208333,359.7832,347.4445,37.361741,36.080421,0.392869,-0.473071,0.9748
146,1.216667,359.7832,347.4445,37.361741,36.080421,0.392869,-0.473071,0.9748
147,1.225000,359.7832,347.4445,37.361741,36.080421,0.392869,-0.473071,0.9748
148,1.233333,357.6329,346.8637,37.138440,36.020116,0.169568,-0.533375,0.9740
149,1.241667,357.6329,346.8637,37.138440,36.020116,0.169568,-0.533375,0.9740
150,1.250000,357.6329,346.8637,37.138440,36.020116,0.169568,-0.533375,0.9740
151,1.258333,357.6329,346.8637,37.138440,36.020116,0.169568,-0.533375,0.9740
152,1.266667,356.0182,346.4937,36.970760,35.981689,0.001888,-0.571802,0.9947
153,1.275000,356.0182,346.4937,36.970760,35.981689,0.001888,-0.571802,0.9947
154,1.283333,356.0182,346.4937,36.970760,35.981689,0.001888,-0.571802,0.9947
155,1.291667,356.0182,346.4937,36.970760,35.981689,0.001888,-0.571802,0.9947
156,1.300000,356.2955,345.2688,36.999553,35.854486,0.030682,-0.699005,0.9860
157,1.308333,356.2955,345.2688,36.999553,35.854486,0.030682,-0.699005,0.9860
158,1.316667,356.2955,345.2688,36.999553,35.854486,0.030682,-0.699005,0.9860
159,1.325000,356.2955,345.2688,36.999553,35.854486,0.030682,-0.699005,0.9860
160,1.333333,356.8947,345.9413,37.061783,35.924323,0.092911,-0.629168,0.9806
161,1.341667,356.8947,345.9413,37.061783,35.924323,0.092911,-0.629168,0.9806
162,1.350000,356.8947,345.9413,37.061783,35.924323,0.092911,-0.629168,0.9806
163,1.358333,356.8947,345.9413,37.061783,35.924323,0.092911,-0.629168,0.9806
164,1.366667,356.8443,343.6486,37.056545,35.686238,0.087673,-0.867254,0.9788
165,1.375000,356.8443,343.6486,37.056545,35.686238,0.087673,-0.867254,0.9788
