# Strain Tracker Export
# generated: 2026-05-22T10:14:36.142Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.401099 px per mm
# calibration_points_px: (244.844,593.615) - (338.789,590.092)
# calibration_real_distance: 10 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
152,1.266667,886.5977,590.7599,94.307883,62.839456,-2.702056,-0.131908,0.9959
153,1.275000,886.5977,590.7599,94.307883,62.839456,-2.702056,-0.131908,0.9959
154,1.283333,886.5977,590.7599,94.307883,62.839456,-2.702056,-0.131908,0.9959
155,1.291667,886.5977,590.7599,94.307883,62.839456,-2.702056,-0.131908,0.9959
156,1.300000,885.7649,590.6255,94.219301,62.825157,-2.790638,-0.146207,0.9959
157,1.308333,885.7649,590.6255,94.219301,62.825157,-2.790638,-0.146207,0.9959
158,1.316667,885.7649,590.6255,94.219301,62.825157,-2.790638,-0.146207,0.9959
159,1.325000,885.7649,590.6255,94.219301,62.825157,-2.790638,-0.146207,0.9959
160,1.333333,885.4777,590.5543,94.188746,62.817585,-2.821193,-0.153779,0.9944
161,1.341667,885.4777,590.5543,94.188746,62.817585,-2.821193,-0.153779,0.9944
162,1.350000,885.4777,590.5543,94.188746,62.817585,-2.821193,-0.153779,0.9944
163,1.358333,885.4777,590.5543,94.188746,62.817585,-2.821193,-0.153779,0.9944
164,1.366667,884.2524,590.4542,94.058407,62.806941,-2.951532,-0.164423,0.9956
165,1.375000,884.2524,590.4542,94.058407,62.806941,-2.951532,-0.164423,0.9956
166,1.383333,884.2524,590.4542,94.058407,62.806941,-2.951532,-0.164423,0.9956
167,1.391667,884.2524,590.4542,94.058407,62.806941,-2.951532,-0.164423,0.9956
168,1.400000,883.2831,590.3701,93.955306,62.797992,-3.054633,-0.173372,0.9965
169,1.408333,883.2831,590.3701,93.955306,62.797992,-3.054633,-0.173372,0.9965
170,1.416667,883.2831,590.3701,93.955306,62.797992,-3.054633,-0.173372,0.9965
171,1.425000,883.2831,590.3701,93.955306,62.797992,-3.054633,-0.173372,0.9965
172,1.433333,882.3419,590.2764,93.855185,62.788023,-3.154754,-0.183341,0.9967
173,1.441667,882.3419,590.2764,93.855185,62.788023,-3.154754,-0.183341,0.9967
174,1.450000,882.3419,590.2764,93.855185,62.788023,-3.154754,-0.183341,0.9967
175,1.458333,882.3419,590.2764,93.855185,62.788023,-3.154754,-0.183341,0.9967
176,1.466667,881.2833,590.2442,93.742582,62.784596,-3.267356,-0.186768,0.9969
177,1.475000,881.2833,590.2442,93.742582,62.784596,-3.267356,-0.186768,0.9969
178,1.483333,881.2833,590.2442,93.742582,62.784596,-3.267356,-0.186768,0.9969
179,1.491667,881.2833,590.2442,93.742582,62.784596,-3.267356,-0.186768,0.9969
180,1.500000,880.3378,590.1302,93.642011,62.772475,-3.367928,-0.198888,0.9968
181,1.508333,880.3378,590.1302,93.642011,62.772475,-3.367928,-0.198888,0.9968
182,1.516667,880.3378,590.1302,93.642011,62.772475,-3.367928,-0.198888,0.9968
183,1.525000,880.3378,590.1302,93.642011,62.772475,-3.367928,-0.198888,0.9968
184,1.533333,879.3918,590.0402,93.541388,62.762903,-3.468550,-0.208461,0.9963
185,1.541667,879.3918,590.0402,93.541388,62.762903,-3.468550,-0.208461,0.9963
186,1.550000,879.3918,590.0402,93.541388,62.762903,-3.468550,-0.208461,0.9963
187,1.558333,879.3918,590.0402,93.541388,62.762903,-3.468550,-0.208461,0.9963
188,1.566667,878.5406,589.9631,93.450847,62.754701,-3.559092,-0.216662,0.9955
189,1.575000,878.5406,589.9631,93.450847,62.754701,-3.559092,-0.216662,0.9955
190,1.583333,878.5406,589.9631,93.450847,62.754701,-3.559092,-0.216662,0.9955
191,1.591667,878.5406,589.9631,93.450847,62.754701,-3.559092,-0.216662,0.9955
192,1.600000,877.9937,589.9053,93.392673,62.748553,-3.617266,-0.222810,0.9965
193,1.608333,877.9937,589.9053,93.392673,62.748553,-3.617266,-0.222810,0.9965
194,1.616667,877.9937,589.9053,93.392673,62.748553,-3.617266,-0.222810,0.9965
195,1.625000,877.9937,589.9053,93.392673,62.748553,-3.617266,-0.222810,0.9965
196,1.633333,876.7039,589.8358,93.255472,62.741161,-3.754466,-0.230203,0.9955
197,1.641667,876.7039,589.8358,93.255472,62.741161,-3.754466,-0.230203,0.9955
198,1.650000,876.7039,589.8358,93.255472,62.741161,-3.754466,-0.230203,0.9955
199,1.658333,876.7039,589.8358,93.255472,62.741161,-3.754466,-0.230203,0.9955
200,1.666667,875.8820,589.6769,93.168050,62.724254,-3.841889,-0.247110,0.9946
201,1.675000,875.8820,589.6769,93.168050,62.724254,-3.841889,-0.247110,0.9946
202,1.683333,875.8820,589.6769,93.168050,62.724254,-3.841889,-0.247110,0.9946
203,1.691667,875.8820,589.6769,93.168050,62.724254,-3.841889,-0.247110,0.9946
204,1.700000,875.0938,589.7151,93.084202,62.728315,-3.925737,-0.243049,0.9950
205,1.708333,875.0938,589.7151,93.084202,62.728315,-3.925737,-0.243049,0.9950
206,1.716667,875.0938,589.7151,93.084202,62.728315,-3.925737,-0.243049,0.9950
207,1.725000,875.0938,589.7151,93.084202,62.728315,-3.925737,-0.243049,0.9950
208,1.733333,873.9373,589.6751,92.961187,62.724062,-4.048752,-0.247302,0.9945
209,1.741667,873.9373,589.6751,92.961187,62.724062,-4.048752,-0.247302,0.9945
210,1.750000,873.9373,589.6751,92.961187,62.724062,-4.048752,-0.247302,0.9945
211,1.758333,873.9373,589.6751,92.961187,62.724062,-4.048752,-0.247302,0.9945
212,1.766667,872.7227,589.6466,92.831988,62.721036,-4.177951,-0.250328,0.9941
213,1.775000,872.7227,589.6466,92.831988,62.721036,-4.177951,-0.250328,0.9941
214,1.783333,872.7227,589.6466,92.831988,62.721036,-4.177951,-0.250328,0.9941
215,1.791667,872.7227,589.6466,92.831988,62.721036,-4.177951,-0.250328,0.9941
216,1.800000,872.7227,589.6466,92.831988,62.721036,-4.177951,-0.250328,0.9941
217,1.808333,871.2266,589.5141,92.672855,62.706936,-4.337084,-0.264428,0.9934
218,1.816667,871.2266,589.5141,92.672855,62.706936,-4.337084,-0.264428,0.9934
219,1.825000,871.2266,589.5141,92.672855,62.706936,-4.337084,-0.264428,0.9934
220,1.833333,869.7016,589.4737,92.510636,62.702637,-4.499302,-0.268727,0.9935
221,1.841667,869.7016,589.4737,92.510636,62.702637,-4.499302,-0.268727,0.9935
222,1.850000,869.7016,589.4737,92.510636,62.702637,-4.499302,-0.268727,0.9935
223,1.858333,869.7016,589.4737,92.510636,62.702637,-4.499302,-0.268727,0.9935
224,1.866667,868.7135,589.4636,92.405529,62.701570,-4.604410,-0.269793,0.9937
225,1.875000,868.7135,589.4636,92.405529,62.701570,-4.604410,-0.269793,0.9937
226,1.883333,868.7135,589.4636,92.405529,62.701570,-4.604410,-0.269793,0.9937
227,1.891667,868.7135,589.4636,92.405529,62.701570,-4.604410,-0.269793,0.9937
